Name,MLBAMID
Clayton Kershaw,477132
Carlos Santana,467793
Cory Rasmus,474284
Tommy Pham,502054
Kenley Jansen,445276
Max Scherzer,453286
Liam Hendriks,521230
Justin Wilson,458677
Charlie Morton,450203
Giancarlo Stanton,519317
Anthony Gose,543238
Justin Turner,457759
Sandy Leon,506702
Freddie Freeman,518692
Jose Altuve,514888
Kyle Higashioka,543309
Ryan Brasier,518489
Wilmer Flores,527038
Leury Garcia,544725
Alex Cobb,502171
Carlos Carrasco,471911
Craig Kimbrel,518886
Martin Maldonado,455117
Martin Perez,527048
Luis Garcia,472610
Salvador Perez,521692
Evan Scribner,519267
Travis d’Arnaud,518595
Miguel Rojas,500743
Hunter Strickland,519326
Bryan Shaw,543766
David Robertson,502085
Donovan Solano,456781
Justin Verlander,434378
Wade Miley,489119
Kirby Yates,489446
Nathan Eovaldi,543135
Casey Kelly,543391
Paul Goldschmidt,502671
Starling Marte,516782
Patrick Corbin,571578
Dallas Keuchel,572971
Christian Vazquez,543877
Nolan Arenado,571448
Andrew McCutchen,457705
Trayce Thompson,572204
Christian Bethancourt,542194
Chris Owings,572008
Tyler Matzek,554431
Max Stassi,545358
Mike Trout,545361
Shelby Miller,571946
Billy Hamilton,571740
Tucker Barnhart,571466
Jose Iglesias,578428
Aroldis Chapman,547973
Randal Grichuk,545341
Zack Wheeler,554430
Erasmo Ramirez,541640
Michael Tonkin,543859
Marcell Ozuna,542303
Enrique Hernandez,571771
Scott Alexander,518397
Chris Sale,519242
Carlos Perez,542208
Rob Brantly,542963
Jurickson Profar,595777
Michael Mariot,592527
Rangel Ravelo,592660
Chasen Shreve,592741
Jacob deGrom,594798
Vince Velasquez,592826
Tyler Lyons,544928
Tommy Kahnle,592454
Jose Quintana,500779
Drew Pomeranz,519141
Gary Sanchez,596142
Dixon Machado,553988
Christian Yelich,592885
Robbie Ray,592662
Michael A. Taylor,572191
Manny Machado,592518
Bryce Harper,547180
Jose Urena,570632
Yolmer Sanchez,570560
Willson Contreras,575929
Brandon Drury,592273
Heath Hembree,592390
Jameson Taillon,592791
Elias Diaz,553869
Nick Castellanos,592206
J.T. Realmuto,592663
Luke Jackson,592426
Taijuan Walker,592836
Joc Pederson,592626
Hanser Alberto,593643
Kyle Hendricks,543294
Scott McGough,543518
Yimi Garcia,554340
Max Kepler,596146
Ben Gamel,592325
Xander Bogaerts,593428
Jorge Alfaro,595751
Aaron Brooks,605156
Chris Bassitt,605135
Colin Rea,607067
Jacob Barnes,606930
Seth Lugo,607625
Marcus Semien,543760
Eugenio Suarez,553993
Trevor Story,596115
Blake Treinen,595014
Adrian Houser,605288
Nick Martinez,607259
Rafael Montero,606160
Chris Devenski,606965
Sonny Gray,543243
Mike Clevinger,605182
Andrew Kittredge,552640
George Springer,543807
Shawn Armstrong,542888
James McCann,543510
Anthony Rendon,543685
Andrew McKirahan,605374
Tyler Anderson,542881
Francisco Lindor,596019
Brandon Nimmo,607043
Joe Musgrove,605397
Austin Hedges,595978
Javier Baez,595879
Andrew Chafin,605177
Teoscar Hernandez,606192
Yu Darvish,506433
Gerrit Cole,543037
Derek Law,571882
Josh Bell,605137
Jorge Polanco,593871
Eduardo Rodriguez,593958
Orlando Arcia,606115
Michael Fulmer,605242
Jesse Hahn,534910
Danny Coulombe,543056
Max Muncy,571970
Ildemaro Vargas,545121
Omar Narvaez,553882
Adrian Sampson,592716
Luke Maile,571912
Tyler Naquin,571980
Steven Matz,571927
Christian Walker,572233
Pierce Johnson,572955
Taylor Rogers,573124
Lucas Sims,608371
Tom Murphy,608596
Jose Ramirez,608070
Matt Bowman,621199
Blake Snell,605483
Steven Okert,595345
Jesse Winker,608385
Robert Stephenson,596112
Carl Edwards Jr.,605218
Mookie Betts,605141
Ketel Marte,606466
Carson Kelly,608348
Jeimer Candelario,600869
Corey Seager,608369
Jacob Stallings,607732
Chris Taylor,621035
Travis Jankowski,608671
Rob Refsnyder,608701
Zach Eflin,621107
Matt Strahm,621381
Paul Sewald,623149
Tyler Heineman,623168
Brent Suter,608718
Michael Wacha,608379
Kevin Gausman,592332
Albert Almora Jr.,546991
Lance McCullers Jr.,621121
Byron Buxton,621439
Carlos Correa,621043
Jose Berrios,621244
Josh Hader,623352
Jorge Soler,624585
Ray Black,605143
Wandy Peralta,593974
Frankie Montas,593423
Matt Olson,621566
Raimel Tapia,606132
Ty Blach,621389
Tyler Glasnow,607192
Amir Garrett,607237
Harold Ramirez,623912
Joe Hudson,621529
Jose Leclerc,600917
Carlos Estevez,608032
Edwin Diaz,621242
Paul Blackburn,621112
Kyle Farmer,571657
Buck Farmer,571656
Michael Lorenzen,547179
Joe Mantiply,573009
Sam Moll,594580
Jon Gray,592351
Chad Kuhl,641771
German Marquez,608566
Trevor Gott,641627
Dom Nunez,624513
Rob Zastryzny,642239
Ben Heller,621294
Ryan McMahon,641857
Mitch Garver,641598
Adam Frazier,624428
Mike Tauchman,643565
Andrew Heaney,571760
Kris Bryant,592178
Matthew Boyd,571510
Jose De Leon,592254
Lucas Giolito,608337
Antonio Senzatela,622608
J.P. Crawford,641487
Aaron Judge,592450
Dominic Smith,642086
Billy McKinney,641856
Reese McGuire,624512
Rowdy Tellez,642133
Miguel Castro,612434
Luis Castillo,622491
Tyler Wade,642180
Joe Jimenez,641729
Wander Suero,593833
Sean Manaea,640455
Luis Severino,622663
Aledmys Diaz,649557
Austin Nola,543592
Ryne Stanek,592773
Cody Bellinger,641355
Carlos Rodon,607074
Aaron Nola,605400
J.D. Davis,605204
Trea Turner,607208
Michael Conforto,624424
Reynaldo Lopez,625643
Francisco Mejia,642336
Christian Arroyo,624414
Kyle Schwarber,656941
Matt Chapman,656305
Danny Jansen,643376
Ozzie Albies,645277
Austin Gomber,596295
Brock Stewart,592779
Colin Moran,592567
Luke Weaver,596133
Aramis Garcia,605244
Jonah Heim,641680
Sean Newcomb,656794
Grant Holmes,656550
Trevor Williams,592866
Tyler Beede,595881
Gleyber Torres,650402
Raisel Iglesias,628452
Chad Wallach,595453
Yoan Moncada,660162
Jorge Mateo,622761
Jeff Hoffman,656546
Alex Bregman,608324
Andrew Benintendi,643217
Nathan Lukes,664770
Carson Fulmer,608334
Dansby Swanson,621020
Kenta Maeda,628317
Yuli Gurriel,493329
Chris Martin,455119
Wilking Rodriguez,516853
Fernando Cruz,518585
Merrill Kelly,518876
Albert Suarez,544150
Michael Kelly,547184
Brooks Raley,548384
David Buchanan,571527
Miles Mikolas,571945
Hoby Milner,571948
Jon Singleton,572138
Burch Smith,572143
Brian Moran,572383
